Ingredients,Generated Recipe
"[""ground sausage"", ""noodles"", ""rosemary"", ""basil"", ""cayenne pepper"", ""sage"", ""oregano"", ""bell pepper"", ""onion"", ""watch"", ""mozzarella cheese""]","Sausage and Noodle Casserole with Rosemary, Basil, Cayenne Pepper, Sage, Oregano, Bell Pepper, Onion, and Mozzarella Cheese

Ingredients:

- 2 tablespoons olive oil
- 1 pound ground sausage
- 1 large onion, chopped
- 2 cloves garlic, minced
- 8 ounces dry egg noodles
- 4 cups chicken broth
- 1 teaspoon dried rosemary
- 1 teaspoon dried basil
- 1 teaspoon dried sage
- 1 teaspoon dried oregano
- 1/2 teaspoon cayenne pepper
- 1 bell pepper, chopped
- 1/4 cup grated mozzarella cheese
- Salt and pepper to taste

Instructions:

1. Preheat oven to 375 degrees F (190 degrees C).

2. Heat olive oil in a large skillet over medium heat. Add the ground sausage and cook until browned, stirring occasionally, about 5 minutes. Add the onion and garlic and cook for another 3 minutes.

3. In a 9 x 13 inch baking dish, combine the cooked sausage mixture, egg noodles, chicken broth, rosemary, basil, sage, oregano, cayenne pepper, bell pepper, and mozzarella cheese. Stir to combine, then season with salt and pepper.

4. Cover the dish with aluminum foil and bake in preheated oven for 45 minutes, or until noodles are tender."
"[""mushrooms"", ""butter"", ""basil"", ""salt"", ""whipping cream"", ""Parmesan cheese"", ""tomatoes""]","Sauteed Mushroom Basil Parmesan Cream Pasta
Ingredients:
- 2 cups mushrooms, sliced
- 1/4 cup butter
- 2 tablespoons minced fresh basil, plus extra for garnish
- 1 teaspoon salt
- 1/2 cup heavy whipping cream
- 1/3 cup grated Parmesan cheese
- 1/2 cup diced tomatoes
Instructions:
1. Heat a large skillet over medium heat and add butter.
2. Once melted, add in mushrooms, season with salt and cook until golden brown and fragrant, about 5 minutes.
3. Add in minced basil and stir to combine.
4. Reduce the heat to low and add in the heavy whipping cream and Parmesan cheese. Stir until fully combined and creamy.
5. Taste for seasoning and adjust if needed.
6. Add in the diced tomatoes and simmer for another 2 minutes.
7. Serve over cooked pasta and garnish with extra basil, if desired. Enjoy!"
"[""wieners"", ""bottles""]","Wiener and Bottle Sandwich

Ingredients:

-4 wieners
-2 bottles
-4 slices of your favorite bread
-Salt to taste
-1 tsp of butter

Instructions:

1. Preheat a skillet or griddle over medium heat.

2. Slice the wieners in half lengthwise and place them on the preheated skillet.

3. Place the bottles in the center of the skillet.

4. Fry the wieners and bottles for about 5 minutes, flipping halfway through.

5. Butter one side of each slice of bread.

6. Place the fried ingredients on one piece of bread and top with the remaining slice of bread.

7. Sprinkle with salt to taste.

8. Serve warm. Enjoy!"
"[""green pepper"", ""onion"", ""garlic"", ""oil"", ""tomatoes"", ""kidney beans"", ""pinto beans"", ""whole kernel corn"", ""water"", ""long grain rice"", ""chili powder"", ""ground cumin""]","Mexican Rice with Kidney Beans:

Ingredients:
- 2 tablespoons olive oil
- 1 green pepper, diced
- 1 onion, diced
- 3 garlic cloves, minced
- 2 tomatoes, diced
- ½ cup kidney beans, cooked
- ½ cup pinto beans, cooked
- ¼ cup whole kernel corn
- 2 cups water
- 1 cup long grain rice
- 1 teaspoon chili powder
- 1 teaspoon ground cumin

Instructions:

1. Heat the oil in a large skillet over medium heat.

2. Add the green pepper and onion, and cook for about 5 minutes until softened.

3. Add the garlic, tomatoes, beans, and corn and cook for another minute.

4. Add the water, rice, chili powder and cumin, and bring to a boil.

5. Reduce the heat to low, cover, and simmer for about 20 minutes until the rice is cooked through and most of the liquid is absorbed.

6. Serve hot topped with freshly chopped cilantro, if desired. Enjoy!"
"[""chocolate cake mix"", ""containers"", ""Kahlua liqueur""]","Chocolate Cake Mix and Kahlua Liquer Cupcakes
Ingredients:
-1 box of chocolate cake mix 
-3 eggs 
-1/2 cup vegetable oil 
-1/3 cup water 
-1/4 cup Kahlua liquer 
-2 containers store bought frosting 

Instructions:
1. Preheat oven to 350°F. Grease or line a 12-cup muffin pan with paper liners. 
2. In a large bowl, whisk together the cake mix, eggs, oil, water and Kahlua until smooth.
3. Divide the batter among the prepared muffin cups, filling each one no more than 3/4 full. 
4. Bake for 16-20 minutes, or until a toothpick inserted in the center comes out clean. 
5. Cool completely before frosting.
6. Spread frosting on top of each cupcake. Enjoy!"
"[""corn"", ""salt"", ""sunflower oil"", ""tarragon"", ""shrimp"", ""pickled jalapeno"", ""red onion"", ""short cucumber"", ""creme fraiche"", ""lemon"", ""scallions"", ""mint"", ""cilantro""]","Corn, Salt and Sunflower Oil Shrimp Salad:

Ingredients:

• 1 lb shrimp, cooked and peeled
• 1/2 cup pickled jalapeno, chopped
• 1/2 red onion, diced
• 2 short cucumber, diced
• 2 tablespoons tarragon, chopped
• 1/3 cup creme fraiche
• Juice of 1 lemon
• 2 scallions, chopped
• 2 tablespoons mint, chopped
• 2 tablespoons cilantro, chopped

Instructions:

1. In a large bowl, combine the shrimp, pickled jalapeno, red onion, cucumber, tarragon and creme fraiche.

2. Add the lemon juice and mix to combine.

3. Stir in the scallions, mint and cilantro.

4. Serve chilled or at room temperature. Enjoy!"
"[""steak"", ""onions"", ""tomatoes"", ""clove garlic"", ""green bell peppers"", ""soy sauce"", ""sugar""]","Steak with Onion, Tomato, and Garlic Sauce

Ingredients:

-2 steaks
-1 onion, diced
-2 tomatoes, diced
-2 cloves garlic, minced
-1 green bell pepper, sliced
-2 tablespoons soy sauce
-1 tablespoon sugar

Instructions:

1. Heat a large skillet over medium-high heat and add the steaks. Cook until browned on each side and cooked through, about 8 minutes total.

2. Remove the steaks from the pan and set aside.

3. Add the onion, tomato, garlic, bell pepper, soy sauce, and sugar to the same skillet. Cook until vegetables are soft, about 5 minutes.

4. Return the steaks to the pan and toss to coat in the sauce. Cook for an additional 2-3 minutes.

5. Serve the steak with the onion, tomato, and garlic sauce. Enjoy!"
"[""heavy"", ""honey"", ""graham cracker"", ""honeydew melon"", ""cantaloupe"", ""strawberries"", ""currant jelly""]","Honey Dew Graham Cracker Melon Salad
Ingredients:
- 1 honeydew melon, cut into cubes
- 1/2 cup heavy cream
- 2 graham crackers, crushed
- 1/4 cup honey
- 1/2 cup cantaloupe, cubed
- 1/2 cup strawberries, sliced
- 1/2 cup currant jelly

Instructions:
1. In a large bowl, combine the honeydew melon cubes, heavy cream, crushed graham crackers and honey, mixing until all ingredients are combined.
2. Add in the cantaloupe cubes, strawberry slices and currant jelly, stirring to evenly distribute all the ingredients.
3. Serve chilled or at room temperature. Enjoy!"
"[""white flour"", ""whole wheat pastry flour"", ""baking powder"", ""salt"", ""brown sugar"", ""fresh chives"", ""fresh parsley"", ""thyme"", ""cheddar cheese"", ""egg"", ""milk""]","Cheesy Chive Pies
Ingredients:
- 2 cups white flour, 
- 2 cups whole wheat pastry flour,
- 2 teaspoon baking powder,
- 1/2 teaspoon salt,
- 2 tablespoon brown sugar,
- 1/4 cup finely chopped fresh chives,
- 2 tablespoons finely chopped fresh parsley,
- 1 teaspoon thyme,
- 1 cup shredded cheddar cheese,
- 1 egg,
- 1/2 cup milk.

Instructions:
1. Preheat oven to 375°F.
2. In a medium bowl, whisk together the white flour, whole wheat pastry flour, baking powder, salt, and brown sugar.
3. Stir in the chopped chives and parsley.
4. In a small bowl, lightly beat the egg and add the milk.
5. Add the wet ingredients to the dry ingredients and mix until just combined.
6. On a lightly floured surface, roll out the dough to 1/2 inch thick.
7. Cut out circles using a biscuit cutter or other round object.
8. Place the circles on a baking sheet lined with parchment paper.
9. Top each circle with a layer of cheddar cheese and sprinkle with thyme.
10. Bake for 15-20 minutes, until golden brown.
11. Enjoy!"
"[""bread slices"", ""dill pickle"", ""Swiss"", ""mein noodles""]","Swiss Dill Pickle Noodle Bread Slices

Ingredients:
- 2 cups of all-purpose flour
- 1 teaspoon baking powder
- 1/2 teaspoon salt
- 2 tablespoons butter, melted
- 1 cup finely chopped dill pickles
- 1 cup shredded Swiss cheese
- 1 cup milk
- 2 tablespoons minced fresh parsley
- 2 tablespoons chopped fresh dill

Instructions:

1. Preheat oven to 350°F (175°C). Grease a 9x13 inch baking pan.

2. In a large bowl, whisk together the flour, baking powder, and salt.

3. Add in the melted butter, dill pickles, Swiss cheese, milk, parsley, and dill. Mix until combined.

4. Spread the mixture into the prepared baking pan.

5. Bake for 30 minutes or until golden brown and a toothpick inserted into the center comes out clean.

6. Let cool completely before cutting into slices. Enjoy!"
"[""bibb lettuce"", ""chives"", ""bacon"", ""franks"", ""vinegar"", ""garlic"", ""sugar"", ""salt"", ""pepper"", ""dry mustard""]","Bacon-Wrapped Franks with Chive and Garlic Dressing 
Ingredients: 
• 8 slices of bacon
• 8 beef franks
• 2 tablespoons chives, finely chopped
• 2 cloves garlic, minced
• 1 tablespoon olive oil
• 2 tablespoons white wine vinegar
• 2 teaspoons sugar
• 1 teaspoon salt
• ½ teaspoon ground black pepper
• ½ teaspoon dry mustard

Instructions: 
1. Preheat oven to 350°F (175°C).

2. Wrap each frank with a slice of bacon, making sure to secure the ends with toothpicks. Place on a baking sheet lined with parchment paper and bake for 20 minutes.

3. Meanwhile, prepare the dressing. In a small bowl, combine chives, garlic, olive oil, vinegar, sugar, salt, pepper, and mustard. Mix well.

4. Once the franks are done baking, remove from oven and let cool for 5 minutes.

5. Drizzle with the chive and garlic dressing and serve. Enjoy!"
"[""ground beef"", ""onion"", ""olive oil"", ""pinto beans"", ""garbanzo beans"", ""black beans"", ""red beans"", ""tomatoes"", ""corn"", ""taco seasoning"", ""ranch seasoning"", ""cheddar cheese""]","Taco Skillet: 
Ingredients: 
-1 pound ground beef 
-1 onion, chopped 
-2 tablespoons olive oil 
-1 can pinto beans, drained and rinsed 
-1 can garbanzo beans, drained and rinsed 
-1 can black beans, drained and rinsed 
-1 can red beans, drained and rinsed 
-1 can diced tomatoes 
-1/2 cup corn 
-3 tablespoons taco seasoning 
-3 tablespoons ranch seasoning 
-1/2 cup cheddar cheese, grated 
Instructions: 
1. Heat the olive oil in a large skillet over medium heat. 
2. Add the ground beef and onion and cook until the beef is browned and the onion is soft, about 7 minutes. 
3. Add the pinto beans, garbanzo beans, black beans, red beans, tomatoes, corn, and seasonings to the skillet. 
4. Stir to combine and let simmer, stirring occasionally, for 8-10 minutes. 
5. Sprinkle the cheddar cheese over the top and cover with a lid to allow the cheese to melt, about 3 minutes. 
6. Serve with tortilla chips, sour cream, and your favorite taco toppings. Enjoy!"
"[""beans"", ""hamburger"", ""taco seasoning mix"", ""taco sauce"", ""sour cream"", ""Cheddar cheese"", ""Mozzarella cheese""]","Taco Bean Hamburgers
Ingredients:
- 2 cans of beans
- 1 lb ground hamburger
- 2 tablespoons taco seasoning mix
- 2 tablespoons taco sauce
- 2 tablespoons sour cream
- ½ cup shredded Cheddar cheese
- ½ cup shredded Mozarella cheese

Instructions:
1. In a large bowl, mash the beans with a fork until slightly chunky.
2. Add in the hamburger, taco seasoning mix, taco sauce, and sour cream. Mix together until well combined.
3. Form the mixture into 8 patties.
4. Heat a large skillet over medium-high heat and grease with cooking spray.
5. Place the patties in the skillet and cook for about 5 minutes on each side or until fully cooked through.
6. Top each patty with some of the cheese and cover the skillet to melt the cheese.
7. Serve the burgers on buns or as is. Enjoy!"
"[""vegetable oil"", ""skinless"", ""salt"", ""freshly ground black pepper"", ""onion"", ""saffron threads"", ""garlic"", ""tomato juice"", ""dates"", ""water"", ""long-grain rice"", ""green onions"", ""Lemon wedges""]","Vegetable Fried Rice with Dates

Ingredients:

- 2 tablespoons vegetable oil
- 1/2 pound skinless boneless chicken breasts, cut into small cubes
- 1 teaspoon salt
- 1/4 teaspoon freshly ground black pepper
- 1 medium onion, chopped
- 1/4 teaspoon saffron threads
- 4 cloves garlic, minced
- 1/4 cup tomato juice
- 3/4 cup dates, pitted and diced
- 2 1/2 cups water
- 1 cup long-grain rice
- 2 green onions, chopped
- Lemon wedges

Directions:

1. Heat the oil in a large skillet over medium-high heat. Add the chicken, salt, and pepper and cook until lightly browned, stirring occasionally, about 8 minutes.

2. Add the onion, saffron, garlic, tomato juice, dates, and water and bring to a boil.

3. Reduce the heat to low, add the rice, cover, and simmer for 20 minutes.

4. Remove from the heat and let sit for 10 minutes. Fluff with a fork and stir in the green onions.

5. Serve with lemon wedges. Enjoy!"
"[""green chilies"", ""onions"", ""tomatoes"", ""avocados"", ""salt"", ""mayonnaise""]","Green Chili, Onion and Tomato Salad with Avocado and Mayonnaise

Ingredients: 
- 2 cups diced green chilies
- 1 onion, diced
- 2 large tomatoes, diced
- 1 ripe avocado, peeled and diced
- 2 tablespoons mayonnaise
- Salt to taste

Instructions: 
1. In a large bowl, combine the green chilies, onion, tomatoes and avocado.

2. Add in the mayonnaise and salt and mix together until all ingredients are evenly combined.

3. Serve chilled or at room temperature. Enjoy!"
"[""chicken"", ""garlic"", ""paprika"", ""tumeric"", ""kosher salt"", ""black pepper"", ""olive oil"", ""celery"", ""onion"", ""quarters"", ""carrot"", ""orange juice"", ""water"", ""potatoes"", ""paprika"", ""tumeric"", ""kosher salt"", ""black pepper"", ""olive oil""]","Garlic Paprika Chicken and Potatoes

Ingredients:

- 1 lb of chicken thighs
- 4 cloves of garlic, minced
- 2 teaspoons of paprika
- 1 teaspoon of turmeric
- 1 teaspoon of kosher salt 
- 1/2 teaspoon of black pepper
- 2 tablespoons of olive oil
- 2 stalks of celery, chopped
- 1 small onion, diced
- 4 carrots, peeled and chopped
- 1/4 cup of orange juice
- 1/2 cup of water
- 2 cups of potatoes, peeled and diced
- 2 teaspoons of paprika
- 1 teaspoon of turmeric
- 1 teaspoon of kosher salt 
- 1/2 teaspoon of black pepper
- 2 tablespoons of olive oil

Instructions:

1. Preheat your oven to 350 degrees F (175 degrees C).

2. In a large bowl, combine the chicken thighs with the garlic, paprika, turmeric, kosher salt, and black pepper, and mix until all of the ingredients are evenly distributed.

3. Heat the olive oil in a large skillet over medium heat.

4. Add the chicken to the skillet, and cook for about 5 minutes on each side, or until golden brown.

5. Once the chicken is cooked, add the celery, onion, carrots, orange juice, and water to the pan.  Simmer for about 10 minutes.

6. In a separate bowl, combine the potatoes with the paprika, turmeric, kosher salt, and black pepper, and mix until all of the ingredients are evenly distributed.

7. Add the potatoes to the skillet, stirring until all of the ingredients are combined.

8. Transfer the skillet to the preheated oven, and bake for 25 minutes, or until the potatoes are cooked through.

9. Serve and enjoy!"
"[""sugar"", ""brown sugar"", ""shortening"", ""eggs"", ""vanilla"", ""peanut butter"", ""flour"", ""soda"", ""oatmeal"", ""pecans""]","Peanut Butter and Brown Sugar Oatmeal Cookies
Ingredients: 
- 1 cup packed brown sugar
- 1/2 cup shortening
- 2 eggs
- 1 teaspoon vanilla
- 1/2 cup peanut butter
- 1 1/4 cups of all-purpose flour
- 1 teaspoon baking soda
- 1/2 teaspoon salt
- 3/4 cup old-fashioned oats
- 1/2 cup chopped pecans 

Directions: 
1. Preheat oven to 375°F and line baking sheets with parchment paper. 
2. In a large bowl, cream together the brown sugar, shortening, eggs, and vanilla until light and fluffy. 
3. Add the peanut butter and mix until combined. 
4. In a separate bowl, whisk together the flour, baking soda, and salt. 
5. Gradually add the dry ingredients to the wet ingredients and mix until well incorporated. 
6. Fold in the oats and pecans. 
7. Scoop 1 tablespoon of cookie dough and roll into balls. Place them 2 inches apart on baking sheet. 
8. Bake for 10-12 minutes or until the cookies are lightly golden. Let cool before serving. Enjoy!"
"[""mayonnaise"", ""olive oil"", ""sour cream"", ""wine vinegar"", ""lime juice""]","Sour Cream and Olive Oil Dressing
Ingredients:
- 1/4 cup mayonnaise 
- 2 tablespoons olive oil
- 2 tablespoons sour cream
- 2 teaspoons white wine vinegar
- 1 teaspoon lime juice
Instructions:
1. In a small bowl, whisk together the mayonnaise, olive oil, sour cream, white wine vinegar, and lime juice.
2. Taste the dressing and adjust seasonings as desired.
3. Serve over salad or your favorite dish. Enjoy!"
"[""fresh fruit"", ""flour"", ""sugar"", ""milk"", ""butter""]","Fresh Fruit Pie

Ingredients:

- 2 cups fresh fruit of your choice, diced
- 1 cup all-purpose flour
- ½ cup granulated sugar
- ¼ cup milk
- ¼ cup butter, melted

Instructions:

1. Preheat oven to 350°F.

2. In a medium bowl, combine the diced fruit and flour until evenly mixed.

3. In a separate bowl, stir together the sugar, milk, and melted butter until well combined.

4. Pour the butter mixture over the fruit and flour, stirring until everything is evenly mixed.

5. Pour the filling into a 9-inch pie plate that has been lightly greased.

6. Bake for 40 minutes, or until the top is golden brown.

7. Allow the pie to cool before serving. Enjoy!"
"[""graham cracker crumbs"", ""sugar"", ""butter"", ""cream cheese"", ""sugar"", ""milk"", ""chocolate flavor"", ""milk""]","Chocolate Cream Cheese Crumble Bars
Ingredients: 
- 2 cups graham cracker crumbs
- ½ cup sugar
- ½ cup melted butter
- 8 ounces cream cheese, softened
- ¼ cup sugar
- 1 teaspoon vanilla extract 
- ¼ teaspoon salt
- 1 cup milk
- 2 teaspoons chocolate flavor 
- 2 tablespoons milk

Instructions: 
1. Preheat the oven to 350°F. 
2. In a medium bowl, mix together the graham cracker crumbs, sugar, and melted butter until combined. 
3. Press the mixture into the bottom of an 8x8 inch baking dish and bake for 10 minutes.
4. While the crust is baking, in a separate bowl, use a hand mixer to beat together the cream cheese, sugar, vanilla extract, and salt until smooth.
5. Once the crust is done baking, spread the cream cheese mixture over the top and bake for an additional 15 minutes. 
6. Let the bars cool completely before serving. 
7. In a medium bowl, whisk together the milk, chocolate flavor, and milk until combined. 
8. Drizzle the chocolate mixture over the bars before cutting and serving. Enjoy!"
"[""VINAIGRETTE"", ""pear juice"", ""white wine vinegar"", ""mustard"", ""salt"", ""pepper"", ""olive oil"", ""SALAD"", ""red onion"", ""almonds""]","Fennel Salad with Pear Vinaigrette 
Ingredients: 
- 2 cups fennel, diced
- 1/4 cup pear juice
- 2 tablespoons extra virgin olive oil
- 1 tablespoon white wine vinegar
- 1 teaspoon Dijon mustard
- 1/2 teaspoon salt
- 1/4 teaspoon pepper
- 2 tablespoons chopped red onion
- 2 tablespoons slivered almonds

Instructions:
1. In a large bowl, combine the diced fennel and red onion.
2. In a small bowl, whisk together the pear juice, olive oil, white wine vinegar, mustard, salt, and pepper.
3. Pour the dressing over the fennel and onion and toss to coat evenly.
4. Add the slivered almonds and toss again.
5. Serve chilled or at room temperature. Enjoy!"
"[""digestive biscuits"", ""butter"", ""Nutella"", ""hazelnuts"", ""sugar""]","Nutter Butter Nutella Biscuit Cookie
Ingredients:
- 2 Digestive biscuits
- 2 teaspoon of butter
- 2 teaspoon of Nutella
- 2 teaspoon of hazelnuts
- 2 teaspoon of sugar

Instructions:
1. Preheat oven to 350°F (175°C).
2. Crush the digestive biscuits into crumbs and place in a bowl.
3. Melt the butter in the microwave or on the stovetop until completely melted.
4. Pour melted butter over the biscuit crumbs and stir until evenly combined.
5. Place the biscuit mixture on a baking sheet lined with parchment paper or silicone mat.
6. Bake in preheated oven for 10 minutes or until golden brown.
7. Remove from oven and let cool completely.
8. Break apart cooled biscuit pieces into small chunks.
9. Place the biscuit chunks in a bowl and add the Nutella, hazelnuts, and sugar.
10. Stir together until all ingredients are evenly combined.
11. Enjoy your Nutter Butter Nutella Biscuit Cookies!"
