NER,ingredients,directions
"['wieners', 'bottles:']","['1 c. flour', '1 c. Cool Whip']","['Mix together the first 3 ingredients.', 'Press into a 9 x 13-inch pan.', 'Bake at 350° for 15 minutes.', 'Cool.']"
"['green pepper', 'onion', 'garlic', 'oil', 'tomatoes', 'kidney beans', 'pinto beans', 'whole kernel corn', 'water', 'long grain rice', 'chili powder', 'ground cumin:']","['1 lb. fresh or frozen shrimp', '1/3 c. flour', '1/2 c. oil', '1/2 c. chopped green pepper', '1/2 c. chopped onion', '1/2 c. Parmesan cheese', '1 tsp. garlic salt', '1 tsp. ground cumin', '1 c. boiling water']","['Cook potatoes and carrots in salted water until tender.', 'Drain and rinse in cold water.', 'Combine all ingredients in a large bowl.', 'Mix well.', 'Pour into a greased 9 x 13-inch pan.', 'Bake at 350° for 30 to 40 minutes.', 'Serves 12.']"
"['chocolate cake mix', 'containers', 'Kahlua liqueur:']","['1 c. flour', '1/2 c. orange juice']","['Combine all ingredients and beat well.', 'Pour into greased 9 x 13-inch pan.', 'Bake at 350° for 30 minutes.', 'Cool and cut into squares.']"
"['corn', 'salt', 'sunflower oil', 'tarragon', 'shrimp', 'pickled jalapeno', 'red onion', 'short cucumber', 'creme fraiche', 'lemon', 'scallions', 'mint', 'cilantro:']","['1 1/2 lb. fresh shrimp, cooked and drained', '1 c. flour', '1 c. oil', '1 Tbsp. Worcestershire sauce', '1 tsp. salt', '1 tsp. ground cumin', '1/2 c. shredded Cheddar cheese', '1 c. slivered almonds', '1 c. bean sprouts', '1 c. carrots, shredded']","['Combine first 5 ingredients in a large bowl.', 'Stir in cornstarch and oil.', 'Add shrimp, cheese, onion, green pepper and salt.', 'Mix well.', 'Spoon into a greased 1 1/2-quart casserole dish.', 'Bake at 350° for 30 minutes.', 'Serve with crackers.']"
"['steak', 'onions', 'tomatoes', 'clove garlic', 'green bell peppers', 'soy sauce', 'sugar:']","['1 lb. fresh or frozen shrimp', '1/4 c. oil', '1 Tbsp. Worcestershire', '1 c. broccoli florets']","['Cut bread into 1/2-inch slices.', 'Place in a shallow dish.', 'Combine remaining ingredients and pour over shrimp.', 'Cover and refrigerate for at least 1 hour.', 'Serve with crackers.']"
"['heavy', 'honey', 'graham cracker', 'honeydew melon', 'cantaloupe', 'strawberries', 'currant jelly:']","['1 lb. fresh or frozen potatoes', '1 tsp. onion flakes', '1 tsp. Worcestershire sauce', '1 c. Parmesan cheese']","['Preheat oven to 350°.', 'Spread potato wedges on bottom of 9-inch spring-form pan.', 'Place 1 tablespoon of the cream cheese mixture on each piece of crescent rolls.', 'Spread with half of the cream cheese mixture.', 'Repeat layers.', 'Beat egg whites and cream of tartar until foamy.', 'Add sugar and beat until foamy.', 'Spread over carrots.', 'Bake for 15 minutes or until lightly browned.', 'Cool completely.', 'Spread with pineapple juice and sprinkle with remaining crushed peppermint candy.', 'Cover and refrigerate until serving time.', 'Serves 12.']"
"['white flour', 'whole wheat pastry flour', 'baking powder', 'salt', 'brown sugar', 'fresh chives', 'fresh parsley', 'thyme', 'cheddar cheese', 'egg', 'milk:']","['1 1/2 lb. fresh or frozen cabbage, cut into 1/2-inch pieces', '1/4 c. oil', '1 c. flour', '1/2 c. Parmesan cheese', '1 tsp. paprika', '1 tsp. salt', '1 egg', '1 c. flaked coconut']","['Combine bread crumbs, cottage cheese, baking powder, sugar and salt.', 'Cut in butter until mixture resembles coarse crumbs.', 'Stir in egg and milk.', 'Stir in flour and carrots.', 'Stir in remaining cheese.', 'Pour into greased 8 x 4-inch loaf pan.', 'Bake at 350° for 1 hour and 15 minutes or until done.', 'Cool in pan for 10 minutes.', 'Remove from pan and cool on rack.']"
"['bread slices', 'dill pickle', 'Swiss', 'mein noodles:']","['1 lb. fresh or frozen cauliflower', '1 c. flour', '1 c. Cool Whip', '1/4 c. Worcestershire sauce']","['Cook potatoes and drain.', 'Combine cream cheese, salt, pepper and paprika in bowl.', 'Add cottage cheese and mix well.', 'Stir in flour and mix well.', 'Shape into 1-inch balls.', 'Place on ungreased cookie sheet.', 'Bake at 350° for 15 minutes.', 'Cool on wire racks.', 'Makes about 3 dozen.']"
"['bibb lettuce', 'chives', 'bacon', 'franks', 'vinegar', 'garlic', 'sugar', 'salt', 'pepper', 'dry mustard:']","['1 lb. fresh or frozen potatoes', '1/2 c. oil', '1/2 c. flour', '1/2 c. Shredded Cheddar cheese', '1/4 c. boiling water', '1 tsp. Worcestershire', '1/8 tsp. garlic powder', '1 Tbsp. poppy seed', '1/2 tsp. salt']","['Cook potatoes in boiling water for 10 minutes; drain.', 'Combine broth, vinegar, sugar, basil, pepper and salt.', 'Cook over low heat, stirring constantly, until mixture boils and thickens.', 'Cool slightly.', 'Combine cooked potatoes and crackers in a large bowl.', 'Add sauce and vinegar; mix well.', 'Spoon into a greased 2-quart casserole.', 'Bake at 350° for 30 minutes.', 'Serves 6.']"
"['ground beef', 'onion', 'olive oil', 'pinto beans', 'garbanzo beans', 'black beans', 'red beans', 'tomatoes', 'corn', 'taco seasoning', 'ranch seasoning', 'cheddar cheese:']","['2 lb. fresh shrimp', '1 c. flour', '1 c. oil', '1 tsp. Worcestershire sauce', '1 c. chopped onion', '1 c. chopped bell pepper', '1 c. chopped bell pepper', '1 c. Cheddar cheese, shredded', '1 c. tomato juice', '1 can refried beans']","['Cook and drain beef and cool.', 'Mix all ingredients together.', 'Pour into a 9 x 13-inch pan.', 'Bake at 350° for 30 minutes.', 'Serves 10 to 12.']"
"['beans', 'hamburger', 'taco seasoning mix', 'taco sauce', 'sour cream', 'Cheddar cheese', 'Mozzarella cheese:']","['1 lb. fresh or frozen corn (about 1 1/2 lb.)', '1 Tbsp. oleo', '1 tsp. Parmesan cheese', '1/2 tsp. garlic powder', '1 (10 oz.) pkg. frozen chopped broccoli, thawed and drained', '1 (8 oz.) carton sour cream']","['Cook and drain beef and set aside.', 'In a large skillet, cook beef and onion until browned.', 'Drain off fat.', 'Stir in tomato sauce, sour cream, cottage cheese, salt, pepper, basil and sugar.', 'Spoon mixture into a greased 1 1/2-quart casserole.', 'Top with cheese.', 'Bake at 350° for 20 minutes or until bubbly.', 'Makes 6 servings.']"
"['vegetable oil', 'skinless', 'salt', 'freshly ground black pepper', 'onion', 'saffron threads', 'garlic', 'tomato juice', 'dates', 'water', 'long-grain rice', 'green onions', 'Lemon wedges:']","['1 1/2 lb. fresh shrimp, cooked and deveined', '1/4 c. flour', '1 Tbsp. oil', '1 tsp. Worcestershire sauce', '1 tsp. pepper', '1/2 tsp. salt', '1 medium onion, chopped', '1 clove garlic, minced', '1 c. water', '1 c. grape tomatoes, cut in half', '1 c. fresh corn kernels', '1 c. sliced black olives']","['Combine first 5 ingredients in a small bowl.', 'Cut shredded cabbage into 1/2-inch pieces.', 'Combine with oil, vinegar, soy sauce, basil, garlic powder and salt.', 'Mix well.', 'Pour over corn mixture; mix well.', 'Cover and refrigerate for at least 1 hour.', 'Shape into 1-inch balls.', 'Refrigerate 1 hour.', 'Heat oil in skillet over medium heat.', 'Add pork to skillet; cook until browned on both sides.', 'Serve with sauce.']"
"['green chilies', 'onions', 'tomatoes', 'avocados', 'salt', 'mayonnaise:']","['1 1/2 lb. fresh shrimp', '1/2 c. orange juice', '1 Tbsp. Worcestershire sauce', '1/4 c. chopped fresh chives', '1 c. coarsely chopped green olives']","['Preheat oven to 350°.', 'Cook pasta according to package directions.', 'Drain and cool.', 'Combine shrimp, cream cheese, mayonnaise, onions, cheese and cayenne pepper.', 'Stir into mayonnaise mixture.', 'Spoon into a 1 1/2-quart casserole.', 'Bake for 20 minutes.', 'Serve with crackers.']"
"['chicken', 'garlic', 'paprika', 'tumeric', 'kosher salt', 'black pepper', 'olive oil', 'celery', 'onion', 'quarters', 'carrot', 'orange juice', 'water', 'potatoes', 'paprika', 'tumeric', 'kosher salt', 'black pepper', 'olive oil:']","['1 lb. fresh shrimp, cooked and cut into 1-inch pieces', '1/4 c. flour', '1 tsp. Worcestershire sauce', '1/2 c. olive oil', '1 c. chopped green onion', '1 c. chopped peanuts', '1 tsp. garlic powder', '1 tsp. salt', '1 tsp. paprika', '1 c. cold water']","['Combine potatoes, butter, water, cornstarch, salt, pepper and vinegar in a small bowl.', 'Mix well.', 'Combine egg yolks, oil, parsley and garlic powder.', 'Add to dry ingredients, stirring just until mixed.', 'Stir in corn and chopped parsley.', 'Spoon into a greased 12 x 8 x 2-inch baking dish.', 'Bake at 350° for 25 to 30 minutes or until top is golden brown.', 'Serve with crackers.']"
"['sugar', 'brown sugar', 'shortening', 'eggs', 'vanilla', 'peanut butter', 'flour', 'soda', 'oatmeal', 'pecans:']","['1 c. + 2 Tbsp. butter', '1/2 c. Crisco', '1 c. granulated sugar', '2 eggs', '1 tsp. vanilla', '1 c. carrots, finely chopped', '1 c. flour', '1 c. oatmeal', '1 c. powdered sugar']","['Cream together sugar, peanut butter, salt, vanilla and eggs.', 'Sift together flour, baking soda and baking powder.', 'Add to creamed mixture.', 'Add oatmeal and nuts.', 'Drop by teaspoonfuls onto greased cookie sheet.', 'Bake at 350° for 12 minutes.']"
"['mayonnaise', 'olive oil', 'sour cream', 'wine vinegar', 'lime juice:']","['1 1/2 lb. fresh or frozen cabbage, cored and cut into 1/2-inch slices', '1 c. flour', '1 tsp. Worcestershire sauce', '1/4 c. butter, softened', '1 c. sour cream']","['Combine first 5 ingredients in a large bowl.', 'Mix well.', 'Combine sour cream and flour; mix well.', 'Stir into corn mixture.', 'Spoon into a greased 13 x 9-inch baking dish.', 'Bake at 350° for 20 to 25 minutes or until golden brown.', 'Cool 10 minutes.', 'Cut into squares.', 'Serve warm or cool.']"
"['fresh fruit', 'flour', 'sugar', 'milk', 'butter:']","['1 1/2 c. flour', '1 tsp. vanilla', '1/2 c. cold water', '1 c. fresh or frozen orange sections']","['Combine all ingredients in a bowl.', 'Beat at medium speed for 2 minutes.', 'Pour into greased 9-inch pie pan.', 'Bake at 350° for 30 to 35 minutes.', 'Cool 10 minutes.', 'Remove from pan and cool completely.']"
"['graham cracker crumbs', 'sugar', 'butter', 'cream cheese', 'sugar', 'milk', 'chocolate flavor', 'milk:']","['1 1/2 c. flour', '1/4 c. Crisco', '1/4 c. orange extract', '1 tsp. vanilla', '1 c. sugar', '1 c. graham cracker crumbs', '1 (8 oz.) pkg. cream cheese']","['Preheat oven to 350°.', 'Mix cream cheese, 3/4 cup sugar and 1 cup milk.', 'Set aside.', 'Combine flour, baking powder and salt.', 'Add cream cheese and mix well.', 'Add vanilla and mix well.', 'Spread in greased 9 x 13-inch pan.', 'Bake for 15 minutes.', 'Cool.']"
"['VINAIGRETTE', 'pear juice', 'white wine vinegar', 'mustard', 'salt', 'pepper', 'olive oil', 'SALAD', 'red onion', 'almonds:']","['1 1/2 lbs fresh shrimp, peeled and deveined', '1 tablespoon Greek seasoning', '1 tablespoon cornstarch', '1/4 cup Parmesan cheese', '1 teaspoon onion powder', '1 teaspoon McCormick(R) Garlic Salt', '1/4 teaspoon Cayenne pepper', '1/4 teaspoon salt', '1 egg, beaten']","['Preheat oven to 350 degrees F (175 degrees C). Lightly grease a baking sheet.', 'Combine potatoes, butter, and seasonings in a bowl. Stir in raisins, and set aside.', 'In a small bowl, whisk together the egg whites, vinegar, and salt. Stir into the potato mixture. Spoon the mixture into the prepared muffin tins.', 'Bake in the preheated oven until the top is golden brown, about 20 minutes. Cool for 10 minutes before serving.']"
"['digestive biscuits', 'butter', 'Nutella', 'hazelnuts', 'sugar:']","['1 1/2 c. flour', '1 c. oil', '1 tsp. vanilla']","['Mix all ingredients together.', 'Shape into balls and roll in sugar.', 'Bake at 350° for 12 to 15 minutes.']"
"['unsalted butter', 'Batter', 'ground ginger', 'ground cloves', 'ground cinnamon', 'Orange Sauce', 'water', 'cornstarch', 'orange juice concentrate', 'sugar', 'unsalted butter', 'vanilla beans', 'oranges:']","['1 1/2 lbs large shrimp, peeled and deveined', '1 cup all-purpose flour', '1/2 cup cooking oil', '1 tablespoon grated lemon zest', '1 teaspoon vanilla extract', '1/2 teaspoon ground cinnamon', '1/2 cup sugar', '1/4 cup butter', '1/4 cup grated orange rind', '1/4 cup grated Golden Delicious apple', '1/4 cup coconut oil']","['Preheat oven to 350 degrees F (175 degrees C). Line a baking sheet with parchment paper.', 'Combine flour, salt, and baking soda in a bowl. Set aside.', 'Heat 1 tablespoon oil in a large skillet over medium-high heat. Cook and stir onion in hot oil until softened, about 5 minutes. Add cooking oil and cook until fragrant, about 1 minute. Add grape juice, vanilla, and cinnamon sticks. Cook and stir until sugar is dissolved, about 5 minutes. Remove from heat.', 'Stir butter and cornstarch into the sugar mixture until smooth. Add to the saucepan and bring to a boil. Reduce heat to low and simmer until thickened, about 5 minutes. Remove from heat and stir in butter and cinna']"
"['sugar', 'butter', 'vanilla', 'white syrup', 'eggs', 'pecans:']","['1 c. all-purpose flour', '1 c. Cool Whip', '1 c. Crisco', '1 c. sugar', '1 tsp. vanilla', '2 eggs']","['Cream together the butter and powdered sugar.', 'Add eggs, one at a time, beating well after each addition.', 'Add vanilla.', 'Add flour, baking powder and cocoa.', 'Beat well.', 'Add pecans.', 'Pour into greased and floured 9 x 13-inch pan.', 'Bake at 350° for 35 to 40 minutes.', 'Cool and cut into squares.']"
"['Milk', 'Coconut milk', 'brown sugar', 'Gelatin', 'Water:']","['1 1/2 c. fresh cashews', '1/4 c. oil', '1 tsp. Worcestershire', '1 c. Cool Whip', '1 c. sugar']","['Prepare cake mix according to package directions.', 'Pour into a 9 x 13-inch pan.', 'Bake at 350° for 15 minutes.', 'Cool completely.']"
"['red pepper', 'vodka', 'shallots', 'extra virgin olive oil', 'heavy cream', 'butter', 'tomatoes', 'pasta:']","['1 lb. fresh shrimp', '1 c. sugar', '1/2 c. olive oil', '1 tsp. Worcestershire', '1/2 tsp. cayenne pepper', '1 lb. fresh broccoli, cut into bite-size pieces']","['Prepare pastry shells according to package directions.', 'Cool.', 'Combine cottage cheese, sour cream, basil, oregano and garlic.', 'Stir in remaining ingredients.', 'Spoon into shallow 1 1/2-quart casserole.', 'Bake at 350° for 20 minutes or until set.', 'Serve with crackers.']"
"['shrimp', 'cognac', 'lemon juice', 'heavy cream', 'horseradish', 'mustard', 'sugar', 'ketchup:']","['1 1/2 lb. fresh shrimp', '1/4 c. oil', '1 Tbsp. Worcestershire', '1 Tbsp. coarse black pepper', '1 Tbsp. powdered sugar']","['Cut bread into 1/4-inch slices.', 'Place in a large bowl.', 'Add sugar, salad dressing, lemon juice and vinegar.', 'Mix well.', 'Spoon into shallow baking dish.', 'Bake at 350° for 20 minutes.', 'Serve with crackers.']"
"['white sugar', 'butter', 'eggs', 'vanilla', 'flour', 'ground cinnamon', 'baking powder', 'baking soda', 'salt', 'ground nutmeg', 'buttermilk', 'Maple Buttercream Frosting', 'butter', 'shortening', 'maple syrup', 'salt', 'sugar', 'bacon', 'sugar:']","['1 1/2 lb. fresh cabbage, shredded', '1 c. Sunflower seeds', '1 c. vegetable oil', '4 eggs', '1 c. all-purpose flour', '1 tsp. vanilla', '1 tsp. baking powder', '1 tsp. sugar', '1/2 tsp. ground cinnamon', '1/2 tsp. salt', '1/2 c. butter', '1/2 c. brown sugar', '1/2 c. margarine', '1/2 c. coarsely chopped pecans', '1 c. cake flour', '1 tsp. baking powder', '1/4 tsp. baking soda']","['Preheat oven to 350°.', 'Grease and flour a 10-inch tube pan.', 'In a large bowl, combine the cake mix, sugar, butter, eggs, vanilla, and salt.', 'Beat until smooth.', 'Stir in the remaining ingredients.', 'Pour into prepared pan.', 'Bake for 1 hour and 10 minutes or until toothpick inserted in center comes out clean.', 'Cool in pan for 10 minutes.', 'Remove from pan and cool on rack.', 'Serve warm or cooled.']"
"['chicken breasts', 'butter', 'flour', 'milk', 'mustard', 'horseradish', 'honey', 'lemon juice:']","['1 lb. fresh or frozen carrots, thawed', '1/4 c. oil', '1/4 c. flour', '1 Tbsp. Worcestershire', '1/4 c. finely chopped parsley']","['Place cauliflower in bowl with water to cover.', 'Cover and steam over low heat for 15 minutes.', 'Drain and set aside.']"
"['butter', 'currants', 'dark brown sugar', 'lemon', 'ground nutmeg', 'ground cinnamon', 'ground cloves', 'pastry', 'egg white', 'sugar:']","['1 1/2 lb. fresh or frozen potatoes', '1/4 c. Crisco oil', '1/4 c. sugar', '1 tsp. vanilla', '1 c. flour', '1/2 c. raisins', '1 c. finely chopped peaches', '1 large egg', '1 tsp. ground cinnamon']","['Cook potatoes in boiling water until tender but still firm to the bite, about 10 minutes.', 'Drain and cool.', 'Combine potatoes, sugar, butter, egg yolks, grated lemon rind, garlic, caraway seed, salt, pepper and flour in a large bowl.', 'Beat until smooth.', 'Stir in pears.', 'Pour into a greased 8-inch square baking dish.', 'Bake at 350° for 30 minutes or until top is golden brown.', 'Cool in pan on wire rack.', 'Cut into squares.', 'Serve with syrup or sauce.']"
"['sweet paprika', 'green pepper', 'tomatoes', 'onion', 'olive oil', 'bay leaf', 'potatoes', 'garlic', 'pimientos', 'green peas:']","['1 1/2 lb. fresh or frozen potatoes, thawed', '1 c. oil', '1 c. Parmesan cheese', '1 tsp. poppy seed']","['Cook pasta according to package directions.', 'Drain and rinse with cold water.', 'Combine potatoes, onion, green pepper, garlic and salt.', 'Add potatoes, eggs, parsley and garlic powder.', 'Mix well.', 'Pour into a buttered 1 1/2-quart casserole.', 'Bake at 350° for 30 minutes.', 'Serves 6.']"
"['Italian salad dressing', 'butter', 'beer', 'salt', 'pepper', 'Tabasco sauce', 'shrimp:']","['1 1/2 lb. fresh or frozen cabbage', '1 Tbsp. Worcestershire', '1 Tbsp. orange juice', '1/2 c. Parmesan cheese', '1/2 tsp. salt']","['Cut bread into 1/2-inch slices.', 'Place in a shallow baking dish.', 'Combine remaining ingredients and pour over cauliflower.', 'Bake, uncovered, at 350° for 30 minutes.', 'Serves 6.']"
"['vanilla wafers', 'cream cheese', 'cream cheese', 'Splenda', 'vanilla', 'egg whites:']","['1 1/2 c. flour', '1/2 c. oil', '1 c. sugar', '1 tsp. vanilla', '1 egg']","['Mix all ingredients together and pour into a greased 9 x 13-inch pan.', 'Bake at 350° for 30 minutes.', 'Cool and cut into squares.']"
"['pork', 'brown sugar', 'ketchup', 'maple syrup:']","['1 lb. fresh or frozen carrots, thawed', '1 Tbsp. oleo', '1 Tbsp. Worcestershire sauce']","['Combine brown sugar, salt, butter and cornstarch in a saucepan.', 'Stir in water and vinegar.', 'Cook and stir over medium heat until thickened.', 'Remove from heat.', 'Stir in brown sugar and remaining 1 tablespoon margarine.', 'Serve over hot cooked rice.']"
"['Coconut Milk', 'Milk', 'Milk', 'Sugar', 'Milk(full', 'Eggs', 'Salt', 'Coconut', 'Vanilla', 'Aluminum cake', 'mesh strainer:']","['1 1/2 lbs large shredded Colby candy', '1/2 cup olive oil', '1 tablespoon Cornmeal', '1 tablespoon Cinnamon', '1 tablespoon Cinnamon', '1 tablespoon CHOPPED CHEESE CHEESE COOKING', '2 eggs', '1 tablespoon milk', '1/2 teaspoon vanilla', '1/2 teaspoon sugar']","['Preheat oven to 350 degrees.', 'Combine confectioners sugar, milk, cornstarch, and vanilla in a saucepan. Cook over low heat, stirring until mixture is smooth and thickened. Remove from heat and stir in olive oil and eggs. Stir in cooked broccoli, cooking oil and cookies until cheese is melted. Stir in cooked sausage and cooled crust. Spread mixture evenly over the bottom of a 9-inch springform pan. Spread remaining batter over the top. Sprinkle with remaining cheese.', 'Bake until lightly browned, about 30 minutes.']"
"['white asparagus', 'chicken', 'butter', 'bay leaf', 'oranges', 'salt', 'extra virgin olive oil', 'Freshly ground black pepper:']","['3 lb. fresh or frozen cod fillets', '1 c. flour', '1 c. grated Cheddar cheese', '1 tsp. orange extract']","['Preheat oven to 350°.', 'Line a baking sheet with parchment paper.', 'Combine bread crumbs, basil, parsley and garlic in a bowl.', 'Mix well.', 'Stir in cracker crumbs.', 'Shape into 1-inch balls.', 'Place on ungreased cookie sheet.', 'Bake for 15 minutes.', 'Remove from oven and cool completely.', 'Spread cream cheese mixture on each slice of bread.', 'Serve warm.']"
"['woven wheat crackers', 'deli', 'CLAUSSEN Sauerkraut', 'Swiss', 'POUPON:']","['1 1/2 lb. fresh or frozen cabbage', '1 c. flour']","['Preheat oven to 350°.', 'Grease a 12 x 8-inch baking dish.', 'Combine cottage cheese, salt, pepper and garlic powder.', 'Stir in flour.', 'Stir in butter until mixture is crumbly.', 'Spread in pan.', 'Bake for 15 minutes.', 'Cool completely.', 'Spread cream cheese mixture over crust.', 'Cut into squares.']"
"['unsalted butter', 'brown sugar', 'vanilla', 'salt', 'semi-sweet chocolate bits', 'carrots', 'eggs', 'flour', 'pecans:']","['1 1/2 c. finely chopped fresh shredded carrots', '1/2 c. Crisco oil', '1 tsp. vanilla', '1 c. powdered sugar', '1 c. flour', '2 eggs', '1/2 tsp. salt', '1 c. flaked coconut']","['Preheat oven to 350°.', 'In large bowl, combine cookie crumbs, cocoa, baking powder and salt.', 'In a large bowl, cream butter and sugar.', 'Add vanilla and eggs; beat well.', 'Add flour and beat until well blended.', 'Stir in chocolate morsels.', 'Spoon into greased 9 x 5 x 3-inch loaf pan.', 'Bake for 1 hour or until toothpick inserted in center comes out clean.', 'Cool in pan for 10 minutes.', 'Remove from pans and cool completely.']"
