NER,ingredients,directions
"['corn, salt, sunflower oil, tarragon, shrimp, pickled jalapeno, red onion, short cucumber, creme fraiche, lemon, scallions, mint, cilantro']","[' 3 ears corn', ' salt and pepper', ' 6 tablespoons sunflower oil', ' 2 sprigs fresh tarragon', ' 3/4 pound large shrimp, peeled and deveined', ' 1 large pickled jalapeno, finely chopped', ' 1 small red onion, peeled and finely diced', ' 1/2 short cucumber, peeled and diced', ' 1/2 cup creme fraiche', ' juice of 1 lemon', ' 2 scallions, sliced', ' 2 tablespoons chopped mint', ' 2 tablespoons chopped cilantro']","[' put the corn in a steamer basket over a saucepan of boiling water and steam for 3 minutes.', ' let cool, then shuck and scrape the kernels off the cob.', ' you should have about 3 cups of corn.', ' place a large skillet over high heat and add half of the oil and bring to a boil.', ' add the corn kernels and cook until crisp tender, about 3 minutes.', ' season with salt and pepper.', ' transfer the cooled corn to a clean saucepan and toss with the tarragon and the remaining oil and salt and pepper.', ' toss in the shrimp and cook, tossing occasionally, until pink and cooked through, about 2 minutes.', ' transfer to a platter, cover with foil and keep warm.', ' heat the remaining oil in a skillet.', ' add the jalapeno and onion and saute until soft, about 2 minutes.', ' add the cucumber, creme fraiche and lemon juice and simmer until the liquid is reduced by half, about 4 minutes.', ' add the shrimp, scallions, mint and cilantro and toss gently.', ' season with salt and pepper and serve at once.']"
"['steak, onions, tomatoes, clove garlic, green bell peppers, soy sauce, sugar']","[' 1 round steak', ' 2 onions', ' 1 can tomatoes', ' 1 clove garlic', ' 2 green bell peppers', ' soy sauce', ' sugar']","[' brown the steak and onion.', ' add 1 can tomatoes, garlic and peppers.', ' add 1/2 bottle soy sauce and 1 teaspoon sugar.', ' cook on high 3 to 4 hours.', ' serve with rice and beans.']"
"['heavy, honey, graham cracker, honeydew melon, cantaloupe, strawberries, currant jelly']","[' 3/4 c. heavy or whipping cream', ' 1/4 c. honey', ' graham cracker', ' 1/2 honeydew melon, cut into 1 inch chunks', ' 1/2 cantaloupe, cut into 1 inch chunks', ' 1/2 c. sliced strawberries', ' 1/3 c. currant jelly']","[' combine cream and honey.', ' spread on bottom of 8 x 8 x 2 inch dish.', ' chill 1 hour.', ' top with fruit.', ' melt jelly over low heat until bubbly.', ' pour over fruit.', ' chill.', ' yields 12 servings.']"
"['white flour, whole wheat pastry flour, baking powder, salt, brown sugar, fresh chives, fresh parsley, thyme, cheddar cheese, egg, milk']","[' 1 1/4 cups white flour', ' 1/2 cup whole wheat pastry flour', ' 3 teaspoons baking powder', ' 1/2 teaspoon salt', ' 1 tablespoon brown sugar', ' 2 tablespoons fresh chives, minced', ' 1 tablespoon fresh parsley, minced', ' 1 1/2 teaspoons thyme', ' 1/2 cup sharp cheddar cheese, shredded', ' 1 egg', ' 1/3 cup milk']","[' preheat the oven to 425 f.', ' put the dry ingredients in a bowl, and stir to mix. add the cheese, then stir in the egg and milk.', ' turn the dough out onto a lightly floured board. pat out the dough into a circle about 1/2 inch thick. cut into 8 wedges with a knife or knife. i like to use a 2 1/2 inch round cutter to cut out the squares so i can get 4 at a time.', ' place them on an ungreased cookie sheet, and brush with melted butter.', ' bake for 15 minutes, or until golden brown.']"
"['bread slices, dill pickle, Swiss, mein noodles']","[' 4 lavash bread slices', ' 4 dill pickle spears', ' 4 slices american or sharp cheddar cheese', ' 1/2 cup chow mein noodles']","[' make each lavash sandwich by placing one slice on a cutting board.', ' place a pickle spear over each slice of lavash, then place a slice of cheese over each pickle, extending the pickle over the edges of the lavash.', ' spread the noodles over the lavash.', ' using an oven safe skillet, toast the lavash sandwiches until golden brown.', ' serve hot.']"
"['bibb lettuce, chives, bacon, franks, vinegar, garlic, sugar, salt, pepper, dry mustard']","[' 1 head boston or bibb lettuce', ' 2 tbsp. chopped chives', ' 4 strips bacon', ' 1 lb. franks, cut into 1 1/2 inch pieces', ' 1/3 c. vinegar', ' 1/2 tsp. minced garlic', ' 1 tsp. sugar', ' 1/2 tsp. salt', ' 1/2 tsp. pepper', ' 1/2 tsp. dry mustard']","[' rinse lettuce and tear into bite size pieces.', ' combine with chives set aside.', ' in a large skillet, fry bacon until crisp.', ' remove to paper towels reserve drippings in skillet.']"
"['ground beef, onion, olive oil, pinto beans, garbanzo beans, black beans, red beans, tomatoes, corn, taco seasoning, ranch seasoning, cheddar cheese']","[' 1 lb ground beef', ' 1 onion, chopped', ' 1 tablespoon olive oil', ' 1 16 ounce can pinto beans, drained', ' 1 16 ounce can garbanzo beans, drained', ' 1 16 ounce can black beans, drained', ' 1 16 ounce can red beans, drained', ' 2 14 1/2 ounce cans diced tomatoes with juice', ' 1 16 ounce can mexican style corn', ' 1 1 1/4 ounce package taco seasoning', ' 1 1 1/4 ounce package ranch seasoning', ' 2 cups cheddar cheese, shredded']","[' saute onions with oil until transparent.', ' remove onions from pan.', ' add ground beef to pan, and brown and drain.', ' mix all beans together.', ' mix all ingredients together and simmer until hot.', ' top with cheddar cheese and enjoy.']"
"['beans, hamburger, taco seasoning mix, taco sauce, sour cream, Cheddar cheese, Mozzarella cheese']","[' 1 can refried beans', ' 1 lb. hamburger', ' 1 pkg. taco seasoning mix', ' 1 small bottle taco sauce', ' 1 small tub sour cream', ' 1 c. shredded cheddar cheese', ' 1 c. shredded mozzarella cheese']","[' mix together the refried beans and 1/2 of the taco seasoning mix.', ' spread mixture in bottom of 8 x 8 pan.', ' brown meat and add remaining taco seasoning mix.', ' spread meat over refried beans.', ' spread taco sauce over meat.', ' top with sour cream, then cheeses.', ' bake at 350 until cheese is melted, about 15 minutes.']"
"['vegetable oil, skinless, salt, freshly ground black pepper, onion, saffron threads, garlic, tomato juice, dates, water, long-grain rice, green onions, Lemon wedges']","[' 3 tablespoons vegetable oil', ' 2 large skinless, boneless chicken breast halves about 1 pound', ' 1/2 teaspoon salt', ' 1/4 teaspoon freshly ground black pepper', ' 1 medium onion, chopped about 1 cup', ' 1/2 teaspoon saffron threads, crumbled about 1/4 teaspoon', ' 3 garlic cloves, minced about 1 teaspoon', ' 1 1/2 cups tomato juice', ' 8 dates, pitted and cut into 8 wedges each', ' 1 cup water', ' 1 cup uncooked long grain rice', ' 2 tablespoons chopped green onions', ' lemon wedges optional']","[' heat oil in a large nonstick skillet over medium high heat. sprinkle chicken with salt and pepper. add chicken to pan, and cook 6 minutes on each side or until done.', '. while chicken cooks, cook onion in hot oil in pan over medium heat until tender. stir in saffron and garlic, and cook, stirring constantly, 1 minute. stir in tomato juice and dates, and bring to a boil. cook 5 minutes.', ' add 1 cup water bring to a boil. cover, reduce heat, and simmer 10 minutes or until dates are tender and liquid is nearly absorbed. remove from heat.', ' combine rice and 1 cup hot water in a bowl let stand 5 minutes or until water is absorbed. stir in saffron mixture. top each serving with chicken and a sprinkle of green onions. serve with lemon wedges, if desired.', ' myrecipes is working with', ', the partnership for a healthier america, and usda s myplate to give anyone looking for healthier options access to a trove of recipes that will help them create healthy, tasty plates. for more information about creating a healthy plate, visit', '.']"
"['green chilies, onions, tomatoes, avocados, salt, mayonnaise']","[' 4 or 5 small cans green chilies', ' 3 medium onions, chopped', ' 3 tomatoes, chopped', ' 2 large avocados, diced', ' salt and pepper to taste', ' mayonnaise']","[' let chilies and onions stand 10 to 15 minutes.', ' blend with tomato, diced avocados, salt, pepper and enough mayonnaise to hold together.', ' chill before serving.']"
"['chicken, garlic, paprika, tumeric, kosher salt, black pepper, olive oil, celery, onion, quarters, carrot, orange juice, water, potatoes, paprika, tumeric, kosher salt, black pepper, olive oil']","[' 1 whole chicken', ' 3 garlic cloves', ' 1 tbs paprika', ' 1/2 tbs tumeric', ' 1 kosher salt', ' 1 black pepper', ' 3 tbs olive oil', ' 3 sticks celery', ' 1 large onion', ' 2 leek quarters', ' 3 carrot', ' 2 cups orange juice', ' 1 cup water', ' 3 potatoes', ' 1 tbs paprika', ' 1 tbs tumeric', ' 1 kosher salt', ' 1 black pepper', ' 1 olive oil']","[' preheat oven to 425.', ' place your chicken in the bottom of a roasting pan.', ' add the garlic, spices, salt, pepper, orange juice, and water to the chicken.', ' turn the chicken on its side and roast for approximately 45 minutes, or until the juices run clear.', ' meanwhile, prick the potatoes with a fork, rub them with paprika, tumeric, salt and pepper, and drizzle with olive oil.', ' place on a baking sheet and return to the oven for approximately 30 minutes, until nicely browned and tender.', ' remove from the oven, place on a serving plate, and carve the chicken.', ' i always serve this with rice and garlic bread.']"
"['sugar, brown sugar, shortening, eggs, vanilla, peanut butter, flour, soda, oatmeal, pecans']","[' 1 1/2 c. sugar', ' 2 c. brown sugar', ' 2 c. shortening', ' 4 eggs', ' 2 tsp. vanilla', ' 2 c. peanut butter', ' 4 1/2 c. flour', ' 4 tsp. soda', ' 5 c. oatmeal', ' 2 c. pecans']","[' cream sugars and shortening.', ' add eggs and vanilla.', ' mix well.', ' add peanut butter, flour and soda.', ' add oatmeal and pecans.', ' bake at 350 until done.']"
"['mayonnaise, olive oil, sour cream, wine vinegar, lime juice']","[' 1 c. mayonnaise', ' 1/4 c. olive oil', ' 2 tbsp. sour cream', ' 1 tbsp. wine vinegar', ' 1 tbsp. lime juice']","[' mix together.', ' chill.', ' serve with chips.', ' enjoy.']"
"['fresh fruit, flour, sugar, milk, butter']","[' 1 qt. fresh fruit', ' 1 c. flour', ' 1 c. sugar', ' 1 c. milk', ' 1/2 stick butter, melted']","[' place melted butter in bottom of 2 quart baking dish.', ' place fruit in dish. mix flour, sugar and milk and pour over fruit. bake at 350 for 45 minutes.', ' yields 6 servings.']"
"['graham cracker crumbs, sugar, butter, cream cheese, sugar, milk, chocolate flavor, milk']","[' 1 c. graham cracker crumbs', ' 2 tbsp. sugar', ' 1/3 c. butter or margarine, melted', ' 1 8 oz. pkg. cream cheese, softened', ' 1/2 c. sugar', ' 2 tbsp. milk', ' 2 3 1/2 oz. pkg. jell o chocolate flavor instant pudding and pie filling', ' 3 3/4 c. milk']","[' combine crumbs, 2 tablespoons sugar and margarine.', ' press onto bottom of a 9 inch spring form pan chill.', ' combine cream cheese, sugar and 2 tablespoons milk in bowl.', ' beat well. spread over chilled crust.', ' combine pudding mix and 3 3/4 cups milk.', ' beat 2 minutes.', ' spread over cream cheese mixture.', ' chill 2 hours.']"
"['VINAIGRETTE, pear juice, white wine vinegar, mustard, salt, pepper, olive oil, SALAD, red onion, almonds']","[' 1/4 pound pears, grated', ' 2 pears, sliced', ' 1 ounce pears peeled and chopped', ' 2 tablespoons pear juice', ' 1 tablespoon white wine vinegar', ' 2 teaspoons dijon mustard', ' 1/2 teaspoon salt', ' 1/4 teaspoon pepper', ' 2 tablespoons olive oil', ' 2 tablespoons sALAd', ' 1/4 red onion, thinly sliced', ' 1/4 cup almonds, toasted and chopped']","[' in a bowl, combine the pears, pears and juice. let sit for 15 minutes.', ' in another bowl, whisk the vinegar, mustard, salt and pepper. gradually whisk in oil. fold in sALAd. toss salad with dressing, onion and almonds.']"
"['digestive biscuits, butter, Nutella, hazelnuts, sugar']","[' 1 12 cups digestive biscuits', ' 34 cup butter, melted', ' 1 cup nutella', ' 12 cup hazelnuts, chopped', ' 1 12 tablespoons sugar']","[' process the biscuits in a food processor for about 1 minute.', ' mix the butter into the crumbs, then press the mixture into the base of a greased 8 inch square baking pan.', ' bake in a preheated 350 degree oven for 10 minutes.', ' combine the nutella and hazelnuts, sprinkle evenly over the base.', ' return to oven for about 12 minutes, until the nutella begins to melt.', ' allow to cool, then cut into 2x2 inch squares.', ' sprinkle with the sugar before serving.']"
"['unsalted butter, Batter, ground ginger, ground cloves, ground cinnamon, Orange Sauce, water, cornstarch, orange juice concentrate, sugar, unsalted butter, vanilla beans, oranges']","[' 1/4 cup unsalted butter', ' 1 10 ounce packagebatter', ' 1 teaspoon ground ginger', ' 1 teaspoon ground cloves', ' 1 teaspoon ground cinnamon', ' orange sauce', ' 1 cup water', ' 3 tablespoons cornstarch', ' 1 6 ounce can orange juice concentrate, thawed', ' 1/3 cup sugar', ' 3 tablespoons unsalted butter', ' 2 vanilla beans, split lengthwise', ' 4 navel oranges, peeled, sectioned']","[' heat butter over medium high heat in an 8x8x2 baking dish. in a large bowl, toss together ginger, cloves, cinnamon, and 1/4 cup butter until blended. add the corn bread mix, and, with your hands, blend just until bread resembles coarse crumbs. do not overmix. press mixture into the bottom and up the sides of the baking dish. bake at 350 f for 20 minutes or until crisp. remove from oven, and invert onto a wire rack.', ' for orange sauce, in a medium saucepan, whisk together water and cornstarch. add orange juice concentrate, sugar, and butter. halve the vanilla bean and scrape the inside of the bean to extract the flavorful vanilla sauce. bring to a boil over medium high heat, stirring constantly. boil 1 minute, stirring constantly. let cool 5 minutes.', ' place one cake layer on a serving plate. drizzle half of the orange sauce over the cake layer and top with the remaining cake layer. drizzle the remaining sauce over the top. garnish with orange sections.']"
"['sugar, butter, vanilla, white syrup, eggs, pecans']","[' 1 c. sugar', ' 3 tbsp. butter, melted', ' 1 tsp. vanilla', ' 1 c. white syrup', ' 3 eggs', ' 1 c. broken pecans']","[' mix together sugar, syrup, butter and eggs.', ' add pecans and vanilla.', ' bake in 2 unbaked pie shells at 350 for 40 minutes.']"
"['Milk, Coconut milk, brown sugar, Gelatin, Water']","[' 600 ml milk', ' 400 ml coconut milk tinned', ' 4 tablespoons brown sugar', ' 5 grams gelatin', ' 1 tablespoon water']","[' combine milk, coconut milk and sugar in a large saucepan. stir.', ' soak gelatin in water.', ' add gelatin mixture to the saucepan and stir well.', ' cook over low heat for 20 minutes stirring every now and then.', ' allow mixture to cool completely.', ' pour mixture into mold and chill in the fridge.']"
"['red pepper, vodka, shallots, extra virgin olive oil, heavy cream, butter, tomatoes, pasta']","[' 1 roasted red pepper, drained and diced', ' 3 cups vodka', ' 2 shallots, diced', ' 1 tablespoon extra virgin olive oil', ' 1 cup heavy cream', ' 4 ounces 1/2 stick butter', ' 14 1/2 ounces canned crushed tomatoes', ' 1 pound dried pasta']","[' saute shallots in olive oil for about 4 minutes.', ' add vodka.', ' add red peppers and bring to a boil.', ' simmer for 15 minutes.', ' pour in cream and let simmer another 5 minutes.', ' add butter, crushed tomatoes and simmer until thickened, about 10 minutes.', ' strain into a bowl.', ' keep warm, covered.', ' cook pasta and drain.', ' pour sauce over pasta.', ' mix thoroughly.', ' add salt and pepper.', ' serve immediately.']"
"['shrimp, cognac, lemon juice, heavy cream, horseradish, mustard, sugar, ketchup']","[' 1 lb. cooked shrimp', ' 1/4 c. cognac or brandy', ' 2 tbsp. fresh lemon juice', ' 1 c. heavy cream', ' 2 tbsp. horseradish', ' 2 tsp. mustard', ' 1 tsp. sugar', ' 1/2 c. ketchup']","[' shred cooked shrimp into medium bowl.', ' add brandy and lemon juice mix gently.', ' in another bowl, combine heavy cream, horseradish, mustard, sugar and ketchup.', ' beat at high speed until stiff peaks form.', ' fold into shrimp mixture.', ' serve on a bed of lettuce.', ' yields 4 servings.']"
"['white sugar, butter, eggs, vanilla, flour, ground cinnamon, baking powder, baking soda, salt, ground nutmeg, buttermilk, Maple Buttercream Frosting, butter, shortening, maple syrup, salt, sugar, bacon, sugar']","[' 1 1/4 cups white sugar', ' 1/2 cup butter, softened', ' 3 eggs', ' 1 teaspoon vanilla extract', ' 1 1/2 cups all purpose flour', ' 2 teaspoons ground cinnamon', ' 1 teaspoon baking powder', ' 1/2 teaspoon baking soda', ' 1/2 teaspoon salt', ' 1/4 teaspoon ground nutmeg', ' 1 cup buttermilk', ' maple buttercream frosting', ' 1/2 cup butter, softened', ' 1/2 cup shortening', ' 1/4 cup maple syrup', ' 1/8 teaspoon salt', ' 3 cups confectioners sugar', ' 4 strips bacon, cooked and crumbled', ' 2 1/2 cups confectioners sugar']","[' preheat oven to 350 degrees f 175 degrees c. grease and flour a 9x13 inch cake pan.', ' in a large bowl, cream together the sugar and 1/2 cup butter. add eggs one at a time, beating well after each. stir in vanilla.', ' in a separate bowl, sift together the flour, cinnamon, baking powder, baking soda, 1/2 teaspoon salt and nutmeg. add flour mixture alternately with buttermilk to sugar and egg mixture, beating well after each addition. pour batter into prepared pan.', ' bake at 350 degrees f 175 degrees c for 50 to 55 minutes. cool before frosting.', ' to make frosting in a large bowl, cream together the 1/2 cup butter, shortening, maple syrup, and salt. beat in the confectioners sugar until smooth and spreadable.', ' spread frosting over cooled cake and sprinkle bacon over frosting. sprinkle with the 2 1/2 cups confectioners sugar.']"
"['chicken breasts, butter, flour, milk, mustard, horseradish, honey, lemon juice']","[' 4 large chicken breasts', ' 3 tablespoons butter', ' 4 tablespoons flour', ' 1 cup milk', ' 2 tablespoons prepared mustard', ' 2 tablespoons horseradish', ' 2 tablespoons honey', ' 2 tablespoons lemon juice']","[' preheat oven to 350.', ' saute chicken for about 20 minutes.', ' cover the bottom of a 9x13 casserole with butter and put in the chicken and bake for another 20 minutes.', ' put mustard and horseradish in a blender and then add honey, lemon juice, flour and milk.', ' blend until smooth.', ' after 20 minutes, pour sauce over chicken.', ' bake for another 45 minutes.']"
"['butter, currants, dark brown sugar, lemon, ground nutmeg, ground cinnamon, ground cloves, pastry, egg white, sugar']","[' 1/2 cup butter, at room temperature', ' 1/2 cup dried currants', ' 1/2 cup dark brown sugar', ' 1/2 lemon, juiced', ' 1/2 teaspoon ground nutmeg', ' 1/2 teaspoon ground cinnamon', ' 1/8 teaspoon ground cloves', ' 1 pound puff pastry, defrosted', ' 1 large egg white, beaten', ' confectioners sugar, for dusting']","[' in a medium bowl, combine the butter, currants, sugar, lemon juice, nutmeg, cinnamon and cloves.', ' fill an 8x12x2 inch baking dish with the currant mixture.', ' let the mixture stand at room temperature for 45 minutes.', ' position a rack in the center of the oven and preheat to 400 degrees f 200 degrees c.', ' roll out one pastry sheet to a 13x9 inch rectangle.', ' cut out a rectangle with a floured 3x8 inch cookie cutter.', ' spoon about 1/2 cup currant mixture into the center of the pastry, leaving a 1 inch border.', ' starting on the 1 inch border, roll each pastry round toward the end of the rectangle.', ' enclose the filling and pinch to seal.', ' gently place 2 inches apart on a parchment paper lined baking sheet.', ' brush the tops of each wreath with the egg white, and sprinkle with confectioners sugar.', ' bake in the preheated oven until golden brown, about 10 minutes.']"
"['sweet paprika, green pepper, tomatoes, onion, olive oil, bay leaf, potatoes, garlic, pimientos, green peas']","[' 1 tablespoon sweet paprika', ' 1 large green pepper, seeded and sliced into thin strips', ' 1 large tomatoes, chopped into wedges', ' 1 medium onion, chopped', ' 1 tablespoon olive oil', ' 1 bay leaf', ' 2 small potatoes, peeled and cubed', ' 1 garlic clove, crushed', ' 2 pimientos, seeded and chopped optional', ' 2 cups green peas']","[' dry fry the paprika and green pepper over medium high heat in the oil until the pepper softens slightly.', ' add the onion and saute just until translucent.', ' stir in the potatoes and garlic, and saute for 2 minutes.', ' add the tomatoes, tomato mixture, and water to cover the vegetables.', ' cover and simmer over low heat for about 45 minutes.', ' add the peas and cook for 5 minutes.', ' if the mixture seems too thick, add the peas and cook until they become tender.']"
"['Italian salad dressing, butter, beer, salt, pepper, Tabasco sauce, shrimp']","[' 1/3 c. italian salad dressing', ' 1/3 c. butter or margarine', ' 1/2 c. beer', ' 1/2 tsp. salt', ' 1/8 tsp. pepper', ' 1/8 tsp. tabasco sauce', ' 2 lb. cleaned uncooked shrimp']","[' combine salad dressing, butter, beer, salt, pepper and tabasco sauce in a small saucepan heat over medium high heat until mixture boils.', ' add shrimp, reduce heat and simmer until pink about 5 minutes.', ' serve over cooked rice.']"
